Frame_Number,Predictions,Object_ID,Class,Center_X,Center_Y,Status,Keypoint_15_X,Keypoint_15_Y,Keypoint_16_X,Keypoint_16_Y,LH-Grasp_Status,RH-Grasp_Status
2,,2,bottle,799,858,Not Moving,356,821,284,901,,
4,,2,bottle,799,857,Not Moving,352,819,285,898,,
6,,2,bottle,799,858,Not Moving,343,821,285,896,,
8,,2,bottle,799,858,Not Moving,344,822,285,894,,
10,,2,bottle,799,858,Not Moving,345,823,285,894,,
12,,2,bottle,799,857,Not Moving,339,824,285,893,,
14,,2,bottle,799,858,Not Moving,337,826,287,891,,
16,,2,bottle,799,857,Not Moving,335,826,294,882,,
18,,2,bottle,799,858,Not Moving,338,826,300,875,,
20,,2,bottle,799,857,Not Moving,340,826,308,869,,
22,,2,bottle,799,857,Not Moving,347,822,319,868,,
24,,2,bottle,799,857,Not Moving,352,821,329,862,,
26,,2,bottle,799,857,Not Moving,355,818,342,857,,
28,,2,bottle,799,858,Not Moving,356,819,357,842,,
30,,2,bottle,799,858,Not Moving,348,837,389,817,,
32,,2,bottle,799,858,Not Moving,356,838,421,796,,
34,Neutral,2,bottle,799,857,Not Moving,389,816,445,776,,
36,Neutral,2,bottle,799,857,Not Moving,427,811,477,758,,
38,AP_RH_ST,2,bottle,799,858,Not Moving,422,765,513,751,,
40,AP_RH_ST,2,bottle,799,857,Not Moving,457,768,537,752,,
42,AP_RH_ST,2,bottle,799,857,Not Moving,484,764,568,746,,
44,AP_RH_ST,2,bottle,799,857,Not Moving,539,743,595,743,,
46,AP_RH_ST,2,bottle,799,857,Not Moving,577,740,616,746,,
48,AP_RH_ST,2,bottle,799,857,Not Moving,583,734,625,747,,
50,AP_RH_ST,2,bottle,799,857,Not Moving,587,732,637,747,,
52,AP_RH_ST,2,bottle,800,857,Not Moving,628,734,653,748,,
54,AP_RH_ST,2,bottle,799,857,Not Moving,634,735,665,752,,
56,AP_RH_ST,2,bottle,799,857,Not Moving,655,743,684,758,,
58,AP_RH_ST,2,bottle,799,857,Not Moving,642,743,688,764,,
60,AP_RH_ST,2,bottle,800,857,Not Moving,646,745,689,770,,
62,AP_RH_ST,2,bottle,800,857,Not Moving,648,728,696,781,,
64,AP_RH_ST,2,bottle,800,857,Not Moving,653,746,697,780,,
66,AP_RH_ST,2,bottle,799,856,Not Moving,654,753,695,779,,
68,AP_RH_ST,2,bottle,798,856,Not Moving,648,753,691,777,,
70,AP_RH_ST,2,bottle,794,856,Moving,635,728,692,778,,
72,AP_RH_ST,2,bottle,788,852,Moving,633,746,686,777,,
74,AP_RH_ST,2,bottle,778,848,Moving,625,749,670,776,,
76,AP_RH_ST,3,bottle,763,841,Moving,613,749,662,774,,
78,AP_RH_ST,2,bottle,748,828,Moving,582,743,648,769,,
80,AP_RH_ST,2,bottle,731,818,Moving,581,741,640,764,,
82,AP_RH_ST,3,bottle,712,811,Moving,565,735,622,754,,
86,AP_RH_ST,2,bottle,671,794,Moving,507,728,573,740,,
88,AP_RH_ST,2,bottle,650,790,Moving,506,727,562,739,,
90,AP_RH_ST,3,bottle,629,788,Moving,502,730,542,736,,
92,AP_RH_ST,2,bottle,609,787,Moving,475,741,523,735,,
94,AP_RH_ST,2,bottle,590,789,Moving,453,758,516,734,,
96,AP_RH_ST,2,bottle,568,790,Moving,456,771,505,735,Object bottle grasped with left Hand,
98,AP_RH_ST,2,bottle,551,790,Moving,443,777,479,735,Object bottle grasped with left Hand,
100,AP_RH_ST,2,bottle,534,791,Moving,414,776,466,736,Object bottle grasped with left Hand,
102,AP_BH_ST,2,bottle,520,790,Moving,413,774,459,744,Object bottle grasped with left Hand,
104,AP_BH_ST,2,bottle,506,791,Moving,394,778,441,746,Object bottle grasped with left Hand,
106,AP_BH_ST,2,bottle,494,792,Moving,396,777,433,748,Object bottle grasped with left Hand,
108,AP_BH_ST,2,bottle,483,796,Moving,395,773,421,750,,
110,AP_BH_ST,2,bottle,475,798,Moving,397,784,412,751,Object bottle grasped with left Hand,
112,AP_BH_ST,2,bottle,468,799,Moving,384,777,406,752,,
114,AP_BH_ST,2,bottle,462,801,Moving,382,788,407,753,Object bottle grasped with left Hand,
116,AP_BH_ST,2,bottle,459,803,Not Moving,378,785,405,754,,
118,AP_BH_ST,2,bottle,457,804,Not Moving,376,784,405,754,,
120,AP_BH_ST,2,bottle,456,806,Not Moving,376,781,403,756,,
122,Neutral,2,bottle,456,808,Not Moving,376,792,403,756,,
124,Neutral,2,bottle,457,808,Not Moving,375,791,403,756,,
126,AP_BH_ST,2,bottle,457,808,Not Moving,378,795,404,756,,
128,AP_RH_ST,2,bottle,457,807,Not Moving,378,794,404,756,,
130,AP_RH_ST,2,bottle,457,808,Not Moving,378,791,404,757,,
132,AP_RH_ST,2,bottle,458,808,Not Moving,377,785,404,756,,
134,AP_RH_ST,2,bottle,458,808,Not Moving,374,777,404,757,,
136,AP_RH_ST,2,bottle,458,808,Not Moving,377,785,404,757,,
138,AP_RH_ST,2,bottle,459,808,Not Moving,376,776,405,758,,
140,AP_RH_ST,3,bottle,459,808,Not Moving,377,774,408,761,,
144,Neutral,3,bottle,458,810,Not Moving,380,772,401,763,,
146,Neutral,2,bottle,458,808,Not Moving,379,778,400,769,,
148,Neutral,2,bottle,458,808,Not Moving,380,780,396,786,,
150,Neutral,3,bottle,457,808,Not Moving,375,791,382,796,,
152,Neutral,2,bottle,456,809,Moving,368,804,376,818,Object bottle grasped with left Hand,Object bottle grasped with right Hand
154,Neutral,2,bottle,456,809,Not Moving,361,809,363,831,,
156,Neutral,3,bottle,457,808,Not Moving,355,808,351,842,,
158,Neutral,3,bottle,457,808,Not Moving,368,807,338,851,,
160,Neutral,3,bottle,457,808,Not Moving,371,806,325,863,,
162,Neutral,3,bottle,457,808,Not Moving,373,807,295,865,,
164,Neutral,3,bottle,457,808,Not Moving,384,807,277,872,,
166,Neutral,3,bottle,457,808,Not Moving,395,809,264,879,,
168,Neutral,3,bottle,457,808,Not Moving,381,813,253,884,,
170,Neutral,3,bottle,457,808,Not Moving,370,822,243,891,,
172,Neutral,3,bottle,457,808,Not Moving,362,826,235,892,,
174,Neutral,3,bottle,457,808,Not Moving,349,830,232,896,,
