Frame_Number,Predictions,Object_ID,Class,Center_X,Center_Y,Status,Keypoint_15_X,Keypoint_15_Y,Keypoint_16_X,Keypoint_16_Y,LH-Grasp_Status,RH-Grasp_Status
2,,2,bottle,799,858,Not Moving,357,819,287,901,,
4,,2,bottle,799,857,Not Moving,352,817,287,897,,
6,,2,bottle,799,858,Not Moving,345,819,287,896,,
8,,2,bottle,799,858,Not Moving,344,821,286,893,,
10,,2,bottle,799,858,Not Moving,345,821,286,891,,
12,,2,bottle,799,857,Not Moving,345,820,286,891,,
14,,2,bottle,799,858,Not Moving,343,822,288,890,,
16,,2,bottle,799,857,Not Moving,340,823,292,885,,
18,,2,bottle,799,858,Not Moving,340,824,297,878,,
20,,2,bottle,799,857,Not Moving,343,824,305,869,,
22,,2,bottle,799,857,Not Moving,348,821,317,870,,
24,,2,bottle,799,857,Not Moving,353,820,329,863,,
26,,2,bottle,799,857,Not Moving,355,817,342,859,,
28,,2,bottle,799,858,Not Moving,353,820,357,843,,
30,,2,bottle,799,858,Not Moving,346,837,391,817,,
32,,2,bottle,799,858,Not Moving,360,831,423,794,,
34,,2,bottle,799,857,Not Moving,397,806,446,775,,
36,,2,bottle,799,857,Not Moving,411,788,481,758,,
38,Neutral,2,bottle,799,858,Not Moving,434,758,513,751,,
40,AP_RH_ST,2,bottle,799,857,Not Moving,475,759,538,752,,
42,AP_RH_ST,2,bottle,799,857,Not Moving,494,746,575,747,,
44,AP_RH_ST,2,bottle,799,857,Not Moving,536,738,597,744,,
46,AP_RH_ST,2,bottle,799,857,Not Moving,572,734,615,745,,
48,AP_RH_ST,2,bottle,799,857,Not Moving,582,733,626,746,,
50,AP_RH_ST,2,bottle,799,857,Not Moving,587,730,639,747,,
52,AP_RH_ST,2,bottle,800,857,Not Moving,626,732,656,749,,
54,AP_RH_ST,2,bottle,799,857,Not Moving,651,740,669,751,,
56,AP_RH_ST,2,bottle,799,857,Not Moving,652,746,679,758,,
58,AP_RH_ST,2,bottle,799,857,Not Moving,653,749,683,764,,
60,AP_RH_ST,2,bottle,800,857,Not Moving,655,751,694,773,,
62,AP_RH_ST,2,bottle,800,857,Not Moving,658,754,703,782,,
64,AP_RH_ST,2,bottle,800,857,Not Moving,657,757,703,785,,
66,AP_RH_ST,2,bottle,799,856,Not Moving,657,758,701,784,,
68,AP_RH_ST,2,bottle,798,856,Not Moving,658,759,699,783,,
70,AP_RH_ST,2,bottle,794,856,Moving,654,759,696,781,,
72,AP_RH_ST,2,bottle,788,852,Moving,643,758,687,779,,
74,AP_RH_ST,2,bottle,778,848,Moving,634,757,673,775,,
76,AP_RH_ST,3,bottle,763,841,Moving,611,750,663,770,,
78,AP_RH_ST,2,bottle,748,828,Moving,599,747,643,766,,
80,AP_RH_ST,2,bottle,731,818,Moving,579,739,636,761,,
82,AP_RH_ST,3,bottle,712,811,Moving,571,736,625,754,,
86,AP_RH_ST,2,bottle,671,794,Moving,508,727,575,741,,
88,AP_RH_ST,2,bottle,650,790,Moving,504,726,567,738,,
90,AP_RH_ST,3,bottle,629,788,Moving,501,727,541,735,,
92,AP_RH_ST,2,bottle,609,787,Moving,481,731,520,734,,
94,AP_RH_ST,2,bottle,590,789,Moving,453,751,511,734,,
96,AP_RH_ST,2,bottle,568,790,Moving,424,770,490,732,,
98,AP_RH_ST,2,bottle,551,790,Moving,433,770,473,732,,
100,AP_RH_ST,2,bottle,534,791,Moving,430,804,462,733,Object bottle grasped with left Hand,
102,AP_RH_ST,2,bottle,520,790,Moving,414,787,451,739,Object bottle grasped with left Hand,
104,AP_BH_ST,2,bottle,506,791,Moving,398,783,435,742,Object bottle grasped with left Hand,
106,AP_BH_ST,2,bottle,494,792,Moving,396,780,426,745,Object bottle grasped with left Hand,
108,AP_BH_ST,2,bottle,483,796,Moving,398,782,416,748,Object bottle grasped with left Hand,
110,AP_BH_ST,2,bottle,475,798,Moving,394,798,413,751,Object bottle grasped with left Hand,
112,AP_BH_ST,2,bottle,468,799,Moving,380,799,404,754,Object bottle grasped with left Hand,
114,AP_BH_ST,2,bottle,462,801,Moving,379,803,403,755,Object bottle grasped with left Hand,
116,AP_BH_ST,2,bottle,459,803,Not Moving,375,801,403,755,,
118,AP_BH_ST,2,bottle,457,804,Not Moving,373,797,402,756,,
120,AP_BH_ST,2,bottle,456,806,Not Moving,373,796,403,757,,
122,Neutral,2,bottle,456,808,Not Moving,374,806,403,758,,
124,Neutral,2,bottle,457,808,Not Moving,375,812,403,758,,
126,AP_RH_ST,2,bottle,457,808,Not Moving,376,811,403,759,,
128,AP_RH_ST,2,bottle,457,807,Not Moving,376,811,403,759,,
130,AP_RH_ST,2,bottle,457,808,Not Moving,375,799,404,759,,
132,AP_RH_ST,2,bottle,458,808,Not Moving,375,794,404,759,,
134,AP_RH_ST,2,bottle,458,808,Not Moving,375,789,403,759,,
136,AP_RH_ST,2,bottle,458,808,Not Moving,374,785,400,758,,
138,AP_RH_ST,2,bottle,459,808,Not Moving,374,782,401,759,,
140,AP_RH_ST,3,bottle,459,808,Not Moving,374,778,402,760,,
144,AP_RH_ST,3,bottle,458,810,Not Moving,376,776,400,761,,
146,Neutral,2,bottle,458,808,Not Moving,377,777,396,766,,
148,Neutral,2,bottle,458,808,Not Moving,381,776,393,779,,
150,Neutral,3,bottle,457,808,Not Moving,372,790,379,790,,
152,Neutral,2,bottle,456,809,Moving,365,802,374,814,Object bottle grasped with left Hand,Object bottle grasped with right Hand
154,Neutral,2,bottle,456,809,Not Moving,361,807,360,831,,
156,Neutral,3,bottle,457,808,Not Moving,357,810,349,841,,
158,Neutral,3,bottle,457,808,Not Moving,367,809,337,850,,
160,Neutral,3,bottle,457,808,Not Moving,373,808,322,865,,
162,Neutral,3,bottle,457,808,Not Moving,386,807,291,867,,
164,Neutral,3,bottle,457,808,Not Moving,391,808,276,872,,
166,Neutral,3,bottle,457,808,Not Moving,401,809,262,880,,
168,Neutral,3,bottle,457,808,Not Moving,404,810,250,885,,
170,Neutral,3,bottle,457,808,Not Moving,401,814,240,892,,
172,Neutral,3,bottle,457,808,Not Moving,382,819,233,894,,
174,Neutral,3,bottle,457,808,Not Moving,372,820,229,896,,
176,Neutral,2,bottle,456,808,Not Moving,365,819,228,898,,
178,Neutral,3,bottle,457,808,Not Moving,365,819,227,899,,
180,Neutral,3,bottle,457,808,Not Moving,366,818,228,901,,
182,Neutral,3,bottle,457,808,Not Moving,366,818,229,906,,
184,Neutral,3,bottle,457,808,Not Moving,367,818,229,907,,
186,Neutral,3,bottle,457,808,Not Moving,371,818,229,907,,
188,Neutral,3,bottle,457,808,Not Moving,374,817,230,908,,
190,Neutral,3,bottle,457,808,Not Moving,371,818,230,908,,
